TIME;APPARENT TEMPERATURE;SNOWFALL
2022-12-20T00:00;-2.5;false
2022-12-20T01:00;-2.3;false
2022-12-20T02:00;-2.3;false
2022-12-20T03:00;-2.3;false
2022-12-20T04:00;-2.2;false
2022-12-20T05:00;-2.1;false
2022-12-20T06:00;-2.1;false
2022-12-20T07:00;-2.3;false
2022-12-20T08:00;-2.3;false
2022-12-20T09:00;-2.2;false
2022-12-20T10:00;-1.9;false
2022-12-20T11:00;-1.1;false
2022-12-20T12:00;0.2;false
2022-12-20T13:00;1.1;false
2022-12-20T14:00;1.3;false
2022-12-20T15:00;1.4;false
2022-12-20T16:00;1;false
2022-12-20T17:00;0.3;false
2022-12-20T18:00;0;false
2022-12-20T19:00;-0.2;false
2022-12-20T20:00;-0.4;false
2022-12-20T21:00;-0.9;false
2022-12-20T22:00;-1.6;false
2022-12-20T23:00;-2.2;false
2022-12-21T00:00;-2.2;false
2022-12-21T01:00;-2;false
2022-12-21T02:00;-2.1;false
2022-12-21T03:00;-2.1;false
2022-12-21T04:00;-2;false
2022-12-21T05:00;-2;false
2022-12-21T06:00;-1.9;false
2022-12-21T07:00;-1.9;false
2022-12-21T08:00;-1.9;false
2022-12-21T09:00;-1.7;false
2022-12-21T10:00;-0.6;false
2022-12-21T11:00;1.4;false
2022-12-21T12:00;3;false
2022-12-21T13:00;4.3;false
2022-12-21T14:00;5.1;false
2022-12-21T15:00;4.9;false
2022-12-21T16:00;3.6;false
2022-12-21T17:00;2.5;false
2022-12-21T18:00;2.1;false
2022-12-21T19:00;1.6;false
2022-12-21T20:00;1.4;false
2022-12-21T21:00;1.1;false
2022-12-21T22:00;0.9;false
2022-12-21T23:00;1.2;false
2022-12-22T00:00;1.9;false
2022-12-22T01:00;2.5;false
2022-12-22T02:00;2.6;false
2022-12-22T03:00;2.3;false
2022-12-22T04:00;2.6;false
2022-12-22T05:00;2.8;false
2022-12-22T06:00;3.1;false
2022-12-22T07:00;3.4;false
2022-12-22T08:00;3.6;false
2022-12-22T09:00;4.1;false
2022-12-22T10:00;4.9;false
2022-12-22T11:00;6.3;false
2022-12-22T12:00;7.2;false
2022-12-22T13:00;7.5;false
2022-12-22T14:00;7.7;false
2022-12-22T15:00;7.4;false
2022-12-22T16:00;6.4;false
2022-12-22T17:00;5.4;false
2022-12-22T18:00;4.6;false
2022-12-22T19:00;3.7;false
2022-12-22T20:00;3.1;false
2022-12-22T21:00;2.3;false
2022-12-22T22:00;2.1;false
2022-12-22T23:00;1.9;false
2022-12-23T00:00;1.8;false
2022-12-23T01:00;2.1;false
2022-12-23T02:00;1.8;false
2022-12-23T03:00;1.5;false
2022-12-23T04:00;1.4;false
2022-12-23T05:00;1.1;false
2022-12-23T06:00;0.9;false
2022-12-23T07:00;1.2;false
2022-12-23T08:00;1.8;false
2022-12-23T09:00;3.4;false
2022-12-23T10:00;5.4;false
2022-12-23T11:00;7.8;false
2022-12-23T12:00;10;false
2022-12-23T13:00;11.5;false
2022-12-23T14:00;11.8;false
2022-12-23T15:00;11.3;false
2022-12-23T16:00;10.1;false
2022-12-23T17:00;8.8;false
2022-12-23T18:00;7.1;false
2022-12-23T19:00;5.3;false
2022-12-23T20:00;5;false
2022-12-23T21:00;5.1;false
2022-12-23T22:00;5.2;false
2022-12-23T23:00;5;false
2022-12-24T00:00;4.7;false
2022-12-24T01:00;4.3;false
2022-12-24T02:00;3.9;false
2022-12-24T03:00;3.4;false
2022-12-24T04:00;3;false
2022-12-24T05:00;3;false
2022-12-24T06:00;3.2;false
2022-12-24T07:00;3.9;false
2022-12-24T08:00;4.9;false
2022-12-24T09:00;6.4;false
2022-12-24T10:00;8.2;false
2022-12-24T11:00;9.4;false
2022-12-24T12:00;10.5;false
2022-12-24T13:00;11.4;false
2022-12-24T14:00;11.5;false
2022-12-24T15:00;11.2;false
2022-12-24T16:00;10.6;false
2022-12-24T17:00;9.9;false
2022-12-24T18:00;9.1;false
2022-12-24T19:00;8.3;false
2022-12-24T20:00;8.2;false
2022-12-24T21:00;8.4;false
2022-12-24T22:00;8.5;false
2022-12-24T23:00;8.4;false
2022-12-25T00:00;8.2;false
2022-12-25T01:00;8;false
2022-12-25T02:00;7.9;false
2022-12-25T03:00;7.9;false
2022-12-25T04:00;7.9;false
2022-12-25T05:00;8.1;false
2022-12-25T06:00;8.4;false
2022-12-25T07:00;8.7;false
2022-12-25T08:00;7.9;false
2022-12-25T09:00;8.3;false
2022-12-25T10:00;8.8;false
2022-12-25T11:00;9.2;false
2022-12-25T12:00;9.8;false
2022-12-25T13:00;10.2;false
2022-12-25T14:00;10.3;false
2022-12-25T15:00;10.2;false
2022-12-25T16:00;9.9;false
2022-12-25T17:00;9.5;false
2022-12-25T18:00;9;false
2022-12-25T19:00;8.3;false
2022-12-25T20:00;7.9;false
2022-12-25T21:00;7.4;false
2022-12-25T22:00;6.9;false
2022-12-25T23:00;6.4;false
